cityName,confirmed,infectionRate
武汉,572,0.8
上海,33,0.5
其他,10,0.5
温州,10,0.5
成都,16,0.5
台州,20,0.5
合肥,10,0.5
万州,10,0.5
珠海,10,0.5
深圳,20,0.5
广州,14,0.5
杭州,12,0.5
仙桃,10,0.5
恩施州,11,0.5
荆门,21,0.5
孝感,26,0.5
荆州,10,0.5
黄冈,64,0.5
北海,6,0.4
梧州,1,0.4
芜湖,1,0.4
蚌埠,1,0.4
太原,2,0.4
大同,1,0.4
长治,1,0.4
运城,2,0.4
长春,1,0.4
吉林,2,0.4
松原,1,0.4
哈尔滨,6,0.4
池州,1,0.4
大庆,1,0.4
绥化,1,0.4
柳州,3,0.4
桂林,6,0.4
牡丹江,1,0.4
滁州,2,0.4
安庆,4,0.4
济宁,2,0.4
益阳,4,0.4
郴州,1,0.4
永州,4,0.4
怀化,5,0.4
娄底,5,0.4
济南,2,0.4
青岛,4,0.4
烟台,2,0.4
潍坊,1,0.4
威海,3,0.4
亳州,4,0.4
日照,2,0.4
临沂,3,0.4
德州,1,0.4
聊城,1,0.4
铜陵,3,0.4
六安,2,0.4
阜阳,7,0.4
河池,3,0.4
马鞍山,4,0.4
百色,1,0.4
铜仁,2,0.4
玉林,1,0.4
承德,1,0.4
苏州,3,0.4
南通,1,0.4
连云港,1,0.4
盐城,1,0.4
扬州,1,0.4
宿迁,1,0.4
石家庄,4,0.4
沧州,2,0.4
保定,1,0.4
西安,2,0.4
防城港,2,0.4
咸阳,1,0.4
安康,1,0.4
延安,1,0.4
乌鲁木齐,3,0.4
兰州,4,0.4
满洲里,1,0.4
锡林郭勒盟,1,0.4
香港,5,0.4
澳门,2,0.4
常州,5,0.4
无锡,1,0.4
南京,4,0.4
宁德,1,0.4
海口,3,0.4
三亚,2,0.4
万宁,2,0.4
临高,1,0.4
贵阳,1,0.4
岳阳,5,0.4
黔南州,1,0.4
银川,1,0.4
中卫,1,0.4
固原,1,0.4
沈阳,3,0.4
大连,2,0.4
本溪,1,0.4
铁岭,2,0.4
朝阳,2,0.4
葫芦岛,2,0.4
福州,5,0.4
厦门,3,0.4
泉州,1,0.4
常德,3,0.4
昆明,3,0.4
邵阳,2,0.4
大兴,2,0.4
宁波,6,0.4
嘉兴,4,0.4
绍兴,4,0.4
舟山,2,0.4
金华,2,0.4
衢州,2,0.4
涪陵,1,0.4
大渡口,2,0.4
九龙坡,3,0.4
渝北,2,0.4
长寿,5,0.4
合川,2,0.4
永川,3,0.4
璧山,2,0.4
开州,4,0.4
梁平,1,0.4
城口,1,0.4
丰都,1,0.4
垫江,2,0.4
昌平,3,0.4
顺义,1,0.4
湘潭,2,0.4
通州,2,0.4
宜昌,1,0.4
鄂州,1,0.4
随州,5,0.4
天门,3,0.4
汕头,1,0.4
佛山,9,0.4
韶关,3,0.4
惠州,7,0.4
东莞,1,0.4
中山,2,0.4
阳江,5,0.4
湛江,2,0.4
肇庆,2,0.4
清远,2,0.4
西城,4,0.4
朝阳,5,0.4
海淀,6,0.4
丰台,2,0.4
石景山,1,0.4
忠,3,0.4
云阳,2,0.4
奉节,1,0.4
巫山,3,0.4
达州,1,0.4
雅安,1,0.4
郑州,6,0.4
洛阳,1,0.4
平顶山,1,0.4
新乡,1,0.4
三门峡,1,0.4
南阳,8,0.4
信阳,5,0.4
驻马店,2,0.4
周口,4,0.4
巩义,2,0.4
固始,1,0.4
十堰,5,0.4
西双版纳州,1,0.4
丽江,1,0.4
长沙,8,0.4
衡阳,3,0.4
株洲,1,0.4
内江,1,0.4
德阳,1,0.4
泸州,1,0.4
赣州,2,0.4
巫溪,2,0.4
石柱,3,0.4
秀山,1,0.4
两江新区,3,0.4
天津,8,0.4
抚州,4,0.4
南昌,3,0.4
九江,2,0.4
上饶,2,0.4
自贡,1,0.4
景德镇,1,0.4
萍乡,1,0.4
新余,1,0.4
宜春,1,0.4
吉安,1,0.4
绵阳,2,0.4
遂宁,2,0.4
广安,2,0.4
台湾,3,0.4
